day,month,year,precip_m,tmax,tmin
1,1,1937,0.0302,12.8,7.2
2,1,1937,0.0528,11.1,7.8
3,1,1937,0.0107,11.2,6.4
4,1,1937,0,8.9,-5.3
5,1,1937,0.0185,3.9,-1.1
6,1,1937,0.0051,9.5,3.2
7,1,1937,0.0013,18.2,7.2
8,1,1937,0.0023,19.8,10.6
9,1,1937,0.0003,20.4,8.4
10,1,1937,0,21.1,7.6
11,1,1937,0.0091,16.7,12.1
12,1,1937,0.0056,17.2,9.1
13,1,1937,0,17.2,8.8
14,1,1937,0.002,17.7,12.8
15,1,1937,0.0239,13.7,12.6
16,1,1937,0,12.8,-2.7
17,1,1937,0.0213,14.4,2.8
18,1,1937,0.0236,16.9,10.3
19,1,1937,0.0262,12.9,8.3
20,1,1937,0.0081,12.8,10.2
21,1,1937,0.0046,18.9,10.1
22,1,1937,0.0003,19.3,13.9
23,1,1937,0.0013,19.2,13.9
24,1,1937,0.0137,15,12.5
25,1,1937,0.0165,17.6,12.8
26,1,1937,0,11.9,6.8
27,1,1937,0,11.6,4.3
28,1,1937,0.015,8.6,3.6
29,1,1937,0,16.3,4.1
30,1,1937,0,11.3,5.2
31,1,1937,0.0236,7.8,4.1
1,2,1937,0.0005,12.5,2.8
2,2,1937,0,11.7,-4.3
3,2,1937,0,9.7,-3.1
4,2,1937,0,5.8,-1.2
5,2,1937,0,9.9,-8.1
6,2,1937,0.0018,1.1,-7.1
7,2,1937,0.0127,15.6,0.6
8,2,1937,0.0163,17.4,13.2
9,2,1937,0.0338,13.4,11.8
10,2,1937,0,6.7,-3.5
11,2,1937,0,7.2,-10
12,2,1937,0,13.9,-7.9
13,2,1937,0.0036,10.4,-1.7
14,2,1937,0.0038,10.6,3.1
15,2,1937,0.002,16.7,-0.6
16,2,1937,0.002,1,-1.1
17,2,1937,0,12.7,-6.4
18,2,1937,0.0048,8.1,0.3
19,2,1937,0.0025,7.2,-4.3
20,2,1937,0.034,10,2.6
21,2,1937,0.0117,12.2,7.2
22,2,1937,0,7.1,-3.7
23,2,1937,0,14.2,-3.7
24,2,1937,0.0018,9.7,2.2
25,2,1937,0,4.8,-4.9
26,2,1937,0,4.4,-11.1
27,2,1937,0.013,6.4,-6.3
28,2,1937,0,5.1,-2.3
1,3,1937,0,3.7,-8.7
2,3,1937,0,14.9,-8.5
3,3,1937,0,15.4,-6.1
4,3,1937,0.0008,18.8,-3.9
5,3,1937,0,17.2,7.2
6,3,1937,0,20.3,-2.4
7,3,1937,0,18.2,-1.9
8,3,1937,0.0097,16.3,6.4
9,3,1937,0,10,-1.6
10,3,1937,0,14.8,-6.2
11,3,1937,0,20.8,-1.8
12,3,1937,0.0003,17.7,-0.6
13,3,1937,0,20.6,1.7
14,3,1937,0.0157,12.2,7.2
15,3,1937,0.0099,2.8,2
16,3,1937,0,7.1,-6.4
17,3,1937,0,14.2,-7.8
18,3,1937,0.0053,16.1,2.1
19,3,1937,0.0033,23.2,0.1
20,3,1937,0.002,22.7,9.2
21,3,1937,0,17.7,2.2
22,3,1937,0,18.3,-2.4
23,3,1937,0,23.8,-1.3
24,3,1937,0.0185,17.5,6.4
25,3,1937,0.0064,19.5,11.4
26,3,1937,0,14.4,-0.7
27,3,1937,0,6.7,1.1
28,3,1937,0,7.2,-4.9
29,3,1937,0,15.8,-6.7
30,3,1937,0,11.9,-1.2
31,3,1937,0,13.9,1.2
1,4,1937,0,18.3,-3.9
2,4,1937,0,21.1,1.1
3,4,1937,0,23.9,-0.7
4,4,1937,0.0226,12.8,6.9
5,4,1937,0.032,14.4,10.7
6,4,1937,0,20,3.3
7,4,1937,0,19.4,-2.4
8,4,1937,0.0272,14.9,5.9
9,4,1937,0,7.5,5.6
10,4,1937,0,10.8,0.1
11,4,1937,0,10,-2.7
12,4,1937,0,17.2,-4.4
13,4,1937,0,22.5,-1.7
14,4,1937,0,23.9,4.3
15,4,1937,0.0081,15.6,7.2
16,4,1937,0,21.7,0.6
17,4,1937,0,26.1,-1
18,4,1937,0,29.3,11.9
19,4,1937,0,24.6,9.9
20,4,1937,0.0003,26.1,8.3
21,4,1937,0.0124,15,11.7
22,4,1937,0,26.1,5.1
23,4,1937,0,28.6,3.6
24,4,1937,0.0528,21.8,12.9
25,4,1937,0.0191,19,8.8
26,4,1937,0,17.5,1.2
27,4,1937,0,13.3,4.1
28,4,1937,0.0081,19.9,0.8
29,4,1937,0.0244,22.7,10.9
30,4,1937,0.0005,14.4,10.9
1,5,1937,0,18.8,8.9
2,5,1937,0,15.9,7.8
3,5,1937,0,19.4,6.1
4,5,1937,0.0008,22.2,5.4
5,5,1937,0.0216,20,9.6
6,5,1937,0,20.6,7.4
7,5,1937,0,22.5,1.9
8,5,1937,0,23.1,3.3
9,5,1937,0,25.8,2.6
10,5,1937,0,24.7,4.1
11,5,1937,0,23.7,3.8
12,5,1937,0.0013,23.3,7.4
13,5,1937,0.017,23.3,11.4
14,5,1937,0,20.3,11.1
15,5,1937,0,22.6,3.8
16,5,1937,0,25.6,5.3
17,5,1937,0,26.7,6.7
18,5,1937,0,25.6,7.2
19,5,1937,0.0114,26.2,11.7
20,5,1937,0,27.7,6.6
21,5,1937,0,29.9,6.7
22,5,1937,0.001,28.6,14.3
23,5,1937,0.0003,26.4,12.1
24,5,1937,0,26.6,9.1
25,5,1937,0.0005,26.7,14.1
26,5,1937,0.0013,30.4,10.9
27,5,1937,0,27.8,13.4
28,5,1937,0.0033,29.2,12.1
29,5,1937,0,29.4,11.7
30,5,1937,0.0008,30,11.7
31,5,1937,0.0008,30,13.7
1,6,1937,0,31.1,12.6
2,6,1937,0.0008,29.7,13.6
3,6,1937,0.0033,26.7,13.6
4,6,1937,0.0038,27.3,12.4
5,6,1937,0.0003,27.6,13.7
6,6,1937,0,29.2,13.7
7,6,1937,0.0104,25.5,13.4
8,6,1937,0.0081,25.6,12.9
9,6,1937,0.0066,25.6,13.6
10,6,1937,0.0003,27.2,13.9
11,6,1937,0,27.8,12.3
12,6,1937,0,25.6,13.6
13,6,1937,0,29.2,16.1
14,6,1937,0,26.9,16
15,6,1937,0.0437,28.9,13.2
16,6,1937,0.0201,25.8,13.5
17,6,1937,0.0043,25,15.1
18,6,1937,0.0023,27.7,15.7
19,6,1937,0.0008,29,14.2
20,6,1937,0,30.1,13.1
21,6,1937,0,30.6,12.2
22,6,1937,0.0069,26.7,13.2
23,6,1937,0,28.2,9.3
24,6,1937,0.0005,30.2,14.2
25,6,1937,0.0003,30.8,14.1
26,6,1937,0,31.2,14.9
27,6,1937,0,32.4,14.2
28,6,1937,0.0127,29.4,16.8
29,6,1937,0.0325,26.7,16.2
30,6,1937,0.0033,23.9,10.6
1,7,1937,0,24.7,5.9
2,7,1937,0,25.8,5.9
3,7,1937,0.0124,29.2,7.2
4,7,1937,0.0023,23.4,14.6
5,7,1937,0.0053,28.3,13.9
6,7,1937,0.0033,25.6,14.4
7,7,1937,0.017,26.6,14.7
8,7,1937,0.0005,29.4,15.2
9,7,1937,0,30.6,13.3
10,7,1937,0,30.6,15
11,7,1937,0,30,14.5
12,7,1937,0,29.4,16.1
13,7,1937,0,31,14.1
14,7,1937,0,30,15.2
15,7,1937,0.0003,32.4,15.7
16,7,1937,0,32.4,16.1
17,7,1937,0.0041,30.8,16.6
18,7,1937,0,30.4,17.6
19,7,1937,0.0157,28.9,15.2
20,7,1937,0,28.8,17.7
21,7,1937,0.0038,27.6,12.5
22,7,1937,0.0003,27.2,12.2
23,7,1937,0.001,27.1,17.6
24,7,1937,0,28.8,14.3
25,7,1937,0.0175,27.2,17.8
26,7,1937,0.0013,27.6,17.1
27,7,1937,0.0041,29.2,17.1
28,7,1937,0,28.9,16.7
29,7,1937,0.0008,27.8,18.6
30,7,1937,0.001,28.2,13.3
31,7,1937,0.0137,26.7,16.2
1,8,1937,0,30.3,12.9
2,8,1937,0,29.8,16
3,8,1937,0.0003,30,13.6
4,8,1937,0,29.4,16.6
5,8,1937,0.0183,26.7,15
6,8,1937,0,29.4,16.8
7,8,1937,0.0086,26.5,15.9
8,8,1937,0,28.1,12.2
9,8,1937,0.003,28.3,14.9
10,8,1937,0.003,26.8,17.6
11,8,1937,0,27.8,17.6
12,8,1937,0.0013,29,15.8
13,8,1937,0.0023,27.2,17.3
14,8,1937,0,29.4,15.6
15,8,1937,0.002,27.8,18.3
16,8,1937,0,29.2,15.4
17,8,1937,0,30.4,14.9
18,8,1937,0,30.2,15.3
19,8,1937,0,29.7,14.3
20,8,1937,0,29.7,14.9
21,8,1937,0.0033,28.2,16
22,8,1937,0.0041,26.4,16.7
23,8,1937,0.0246,26.7,15.8
24,8,1937,0.0066,25.8,17.8
25,8,1937,0.0051,22.8,18
26,8,1937,0.0005,26.5,16.9
27,8,1937,0.0051,29.2,16.3
28,8,1937,0,27.1,14.4
29,8,1937,0.0056,27.2,17.5
30,8,1937,0.0114,24.1,18.5
31,8,1937,0.0061,27.4,19.3
1,9,1937,0.0005,29.2,16.9
2,9,1937,0,28.1,15
3,9,1937,0,26.9,14.6
4,9,1937,0,29.4,14.4
5,9,1937,0,29,15.1
6,9,1937,0.0056,27.4,14.2
7,9,1937,0.002,28.3,17.7
8,9,1937,0.033,24.7,18.7
9,9,1937,0.0008,25.3,17.6
10,9,1937,0.0003,21.9,15
11,9,1937,0.0008,26.7,17.2
12,9,1937,0.0084,24.7,10.9
13,9,1937,0.0003,23.3,7.9
14,9,1937,0,23.5,5.6
15,9,1937,0,24.7,3.5
16,9,1937,0.0124,24.9,9.2
17,9,1937,0,22.8,13.5
18,9,1937,0,20.8,5.3
19,9,1937,0,26.4,5.8
20,9,1937,0,24.4,9.1
21,9,1937,0,26.3,9.8
22,9,1937,0,25.9,12
23,9,1937,0,24.2,7.9
24,9,1937,0,24.9,6
25,9,1937,0,26.1,6.7
26,9,1937,0.002,20,11.1
27,9,1937,0,18.3,10.7
28,9,1937,0,21,10.3
29,9,1937,0,21.7,5.7
30,9,1937,0,26.2,5.3
1,10,1937,0.0043,17.3,5.8
2,10,1937,0.0053,20.6,15.7
3,10,1937,0.0183,20.2,16.9
4,10,1937,0.0099,24.1,16.7
5,10,1937,0.0084,26.5,17.2
6,10,1937,0,27.8,13.9
7,10,1937,0,27.7,9.7
8,10,1937,0,21.4,4.4
9,10,1937,0.0066,11.6,3.6
10,10,1937,0,20.2,6.7
11,10,1937,0,20.8,0.2
12,10,1937,0,22.6,2.4
13,10,1937,0.0043,17.3,7.3
14,10,1937,0.0003,16.6,6.4
15,10,1937,0,13.6,-2.5
16,10,1937,0,15.9,-2.8
17,10,1937,0.0061,13.3,3.1
18,10,1937,0.1062,16.7,10.8
19,10,1937,0.0193,23.3,14.4
20,10,1937,0,15.2,2.8
21,10,1937,0,19.8,-0.2
22,10,1937,0.0099,10.6,5.7
23,10,1937,0,6.9,2.4
24,10,1937,0,10.8,-4.7
25,10,1937,0,19.7,-3
26,10,1937,0.0191,15.8,3.4
27,10,1937,0.0003,10.3,1.4
28,10,1937,0,16.8,4.1
29,10,1937,0,17.7,-1.7
30,10,1937,0,26.7,-0.9
31,10,1937,0,25.6,3.1
1,11,1937,0,19.3,2.2
2,11,1937,0,21.9,0.6
3,11,1937,0,15.1,1.2
4,11,1937,0,16.3,-8.2
5,11,1937,0.0015,12.6,-5.4
6,11,1937,0,16.1,-1.5
7,11,1937,0,21.7,-4.7
8,11,1937,0,18.9,-3.8
9,11,1937,0.0003,18.9,10.6
10,11,1937,0,17.8,9.6
11,11,1937,0.0109,12.9,9.2
12,11,1937,0.0015,12.5,8.4
13,11,1937,0,19.3,6.1
14,11,1937,0,15.4,0.4
15,11,1937,0,17.2,-2.3
16,11,1937,0.0033,9.2,-0.6
17,11,1937,0.0003,8.6,-0.9
18,11,1937,0,12.9,-8.1
19,11,1937,0.0036,5,-1.4
20,11,1937,0,-1.3,-7.6
21,11,1937,0,1.1,-10.6
22,11,1937,0,5.6,-14.4
23,11,1937,0,9.4,-13.3
24,11,1937,0,13.3,-10.6
25,11,1937,0,14.2,-3.9
26,11,1937,0.0244,14.2,6.1
27,11,1937,0.0084,18.1,9.6
28,11,1937,0.0094,16.7,10.8
29,11,1937,0,13.1,-6.1
30,11,1937,0,14.2,-6
1,12,1937,0,14.2,-5.2
2,12,1937,0,8.8,-1.6
3,12,1937,0,12.2,-9
4,12,1937,0,8.9,-2.8
5,12,1937,0.0015,6.8,2.6
6,12,1937,0,-6.4,-9.8
7,12,1937,0,-0.6,-17.9
8,12,1937,0,3.3,-8.3
9,12,1937,0,1.7,-11.4
10,12,1937,0,1.9,-14.1
11,12,1937,0,1.7,-19.2
12,12,1937,0,4.7,-10.6
13,12,1937,0.0008,7.2,-0.6
14,12,1937,0,18.9,3.2
15,12,1937,0,15,3
16,12,1937,0,16.7,5.8
17,12,1937,0.0645,14.2,10.7
18,12,1937,0.0033,13.2,9.4
19,12,1937,0,11.9,-0.6
20,12,1937,0,11.7,-6.9
21,12,1937,0,7.8,-4.6
22,12,1937,0.0028,3.3,-6.7
23,12,1937,0.0246,7.8,1.7
24,12,1937,0,12.1,5.3
25,12,1937,0,16.5,-1.7
26,12,1937,0,13.1,-1.2
27,12,1937,0.0356,8.1,5.1
28,12,1937,0,18.3,3.2
29,12,1937,0,13.9,-1.4
30,12,1937,0,14.8,-5.6
31,12,1937,0.0003,15,-3.6
1,1,1938,0.0244,12.7,6.4
2,1,1938,0,10.6,-4.6
3,1,1938,0,11.7,-2.5
4,1,1938,0,11.7,-4.8
5,1,1938,0,12.8,-7.2
6,1,1938,0.0213,6.7,-6
7,1,1938,0,8.4,-0.2
8,1,1938,0,3.3,-4.9
9,1,1938,0,6.7,-7.5
10,1,1938,0.001,5.2,-5.4
11,1,1938,0.0036,3.9,-1.4
12,1,1938,0.001,7.6,-0.1
13,1,1938,0,8.1,-3.4
14,1,1938,0,5,-4.1
15,1,1938,0,10.3,-4.4
16,1,1938,0,16.4,-4.6
17,1,1938,0,17.2,4.1
18,1,1938,0,16,1.1
19,1,1938,0,8.6,2.6
20,1,1938,0,13.3,-3.1
21,1,1938,0.0015,13.6,6.1
22,1,1938,0.002,18.9,8.3
23,1,1938,0,16.7,3.2
24,1,1938,0.0472,16.7,7.8
25,1,1938,0.0033,0,-1.7
26,1,1938,0,-4.4,-9.5
27,1,1938,0,-2.2,-14.4
28,1,1938,0,1.7,-15.8
29,1,1938,0,15.6,-8.8
30,1,1938,0,10.7,1.1
31,1,1938,0.0218,10.4,4.9
1,2,1938,0,11.8,-6.9
2,2,1938,0,12.2,-6.1
3,2,1938,0.0015,15.3,3.8
4,2,1938,0,18.8,0.3
5,2,1938,0,15.6,1.7
6,2,1938,0.001,19.4,10
7,2,1938,0,16.7,3.3
8,2,1938,0,13.9,-2.5
9,2,1938,0,19.4,-0.5
10,2,1938,0,21.1,4.7
11,2,1938,0.0056,17.2,5.6
12,2,1938,0,21.7,1.9
13,2,1938,0,19.7,3.9
14,2,1938,0.0003,19.2,9.4
15,2,1938,0.001,12.8,3.1
16,2,1938,0.0058,10.3,2.5
17,2,1938,0.0008,12.4,5.1
18,2,1938,0.0112,15.3,8.1
19,2,1938,0.0089,14.2,9.7
20,2,1938,0,10,-1.2
21,2,1938,0,11.1,-5
22,2,1938,0.0081,7.8,-1.1
23,2,1938,0.016,13.3,5.2
24,2,1938,0,7.6,0
25,2,1938,0,1.7,-3.9
26,2,1938,0,7.8,-5.8
27,2,1938,0,16.4,-2.2
28,2,1938,0,11.1,-2.8
1,3,1938,0,14.7,-12.5
2,3,1938,0,16.9,-4.4
3,3,1938,0.0142,19.2,8.9
4,3,1938,0,12.8,0
5,3,1938,0,20.9,6.1
6,3,1938,0.0114,16.1,5.7
7,3,1938,0,14.7,-6.1
8,3,1938,0,18.6,-5.2
9,3,1938,0.033,12.2,-1.7
10,3,1938,0.0175,13.9,3.3
11,3,1938,0,15,-1.9
12,3,1938,0,18.3,-3
13,3,1938,0,19.1,0.5
14,3,1938,0,16.7,7
15,3,1938,0.0307,19.4,9.7
16,3,1938,0.0373,16.7,12.4
17,3,1938,0.001,10.1,6.1
18,3,1938,0.0003,23.6,-1.2
19,3,1938,0.0079,18.1,-1.1
20,3,1938,0.0114,23.3,9.6
21,3,1938,0,26.4,2.2
22,3,1938,0.0127,23.9,6.7
23,3,1938,0.0064,18.3,10.8
24,3,1938,0,20.6,4.2
25,3,1938,0,19.4,-1.1
26,3,1938,0.0107,24.4,7.2
27,3,1938,0.0046,13.1,5.6
28,3,1938,0,17.7,5.7
29,3,1938,0.0008,17.5,6.1
30,3,1938,0.001,24.1,11.6
31,3,1938,0.0086,21.4,15.3
1,4,1938,0.0114,17.2,11.4
2,4,1938,0.0145,13.3,6.1
3,4,1938,0,12.2,-1.7
4,4,1938,0,17.5,-4.4
5,4,1938,0,22.5,-0.3
6,4,1938,0.0267,17.2,2.2
7,4,1938,0.0051,21.1,11.1
8,4,1938,0.0404,13.3,8.8
9,4,1938,0.0013,3.9,0.7
10,4,1938,0,13.9,-0.6
11,4,1938,0,16.1,-2.8
12,4,1938,0,20,2.2
